name,href,time,price,bedroom,location,longitudes,lattitudes,validation_location
3 bedroom UBC apartment rent Eagle Drive,https://vancouver.craigslist.org/van/apa/d/burnaby-bedroom-ubc-apartment-rent/7508555644.html,2022-07-13 21:20,"$5,000",3,6268 Eagles Drive,-123.246169,49.258409,True
2 Bed Suite - 1 min to 99 B line! Ideal for UBC Students.,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-suite-min-to-99-line/7508530750.html,2022-07-13 19:19,"$3,200",2,Alma st near 10th ave,-100.445882,39.78373,False
"""Cambie Village"" - character - Laundry-Bright - UBC - TOP FLOOR",https://vancouver.craigslist.org/van/apa/d/vancouver-cambie-village-character/7508510314.html,2022-07-13 18:03,"$2,950",1,20th avenue near cambie,-100.445882,39.78373,False
UBC 5 mins. / Fully Furnished 2 bedroom suite & 1 bedroom  / Sept. 1st,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7501075708.html,2022-07-13 17:03,$0,2,location not found,0.0,0.0,False
UBC 5 mins. / Fully Furnished 2 bedroom suite & 1 bedroom suite / Sept,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7497918955.html,2022-07-13 14:19,$0,2,location not found,0.0,0.0,False
Great 6 Beds 8 Baths Whole House in UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-great-beds-baths-whole-house/7508398714.html,2022-07-13 13:39,"$11,000",6,1788 Knox St,-120.358301,50.687263,True
2 Bedroom Basement Suite for rent close to UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-basement-suite-for/7508400016.html,2022-07-13 13:20,"$1,850",2,location not found,0.0,0.0,False
Furnished apt near UBC to Apr 30/23 - all inclusive rent inc. cleaning,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-apt-near-ubc-to-apr/7505724029.html,2022-07-13 12:51,"$3,250",1,West 10th Avenue near Discovery,-100.445882,39.78373,False
"UBC Spacious 2-Bed, 2-Bath Condo for Rent!",https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-spacious-bed-bath-condo/7508368511.html,2022-07-13 12:16,"$3,600",2,location not found,0.0,0.0,False
UBC 5 mins. / Fully Furnished 2 bedroom suite & 1 bedroom suite / Sept,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7497804574.html,2022-07-13 10:27,$0,2,location not found,0.0,0.0,False
High End Furnished 2BR+Den Condo in UBC Wesbrook Village (AR115),https://vancouver.craigslist.org/van/apa/d/vancouver-high-end-furnished-2brden/7505071565.html,2022-07-13 10:26,"$3,950",2,location not found,0.0,0.0,False
Newly rebuilt furnished 2 bed 2 bath basement suite near UBC for rent,https://vancouver.craigslist.org/van/apa/d/vancouver-newly-rebuilt-furnished-bed/7498723547.html,2022-07-13 08:17,"$2,900",2,W 35th Ave near Maple,-100.445882,39.78373,False
UBC 2 Bedroom 2 Bath Condo,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-bedroom-bath-condo/7508236358.html,2022-07-13 08:04,"$3,100",2,5689 Kings Road,-123.32916,48.437847,True
UBC 5 mins. / Fully Furnished 2 bedroom suite & 1 bedroom suite / Sept,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7497692702.html,2022-07-13 07:41,$0,2,location not found,0.0,0.0,False
Furnished-Bright 2 Bedroom Basement Suite near UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-bright-bedroom/7508174369.html,2022-07-13 05:02,"$1,700",2,4390 9th Avenue West near Trimble Street,-100.445882,39.78373,False
"UBC campus low-rise 2 bedrooms, 2 bathrooms apartment,A/C",https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-campus-low-rise-bedrooms/7500877024.html,2022-07-13 01:17,"$4,500",2,5638 Birney Avenue,-123.232941,49.254344,True
Rare Rental Property in UBC/Point Grey/ Lord Byng/ Van West,https://vancouver.craigslist.org/van/apa/d/vancouver-rare-rental-property-in-ubc/7499593983.html,2022-07-13 01:17,"$12,500",5,4754 West 2nd Avenue,-123.116555,49.265976,True
"3 Bedroom suite West Point Grey, 5 mins to UBC",https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-suite-west-point-grey/7508143759.html,2022-07-12 22:36,"$4,000",3,location not found,0.0,0.0,False
1 Bedroom and Meal Plan on UBC Campus,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-and-meal-plan-on-ubc/7508137849.html,2022-07-12 22:18,"$1,500",1,wesbrook mall,-123.243985,49.26442,True
3 bedrooms basement near UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-bedrooms-basement-near-ubc/7500057816.html,2022-07-12 21:36,"$3,300",3,location not found,0.0,0.0,False
$2000/2 bed*1 Bath-500sf close to UBC brand new basement unit,https://vancouver.craigslist.org/van/apa/d/vancouver-bed1-bath-500sf-close-to-ubc/7504186292.html,2022-07-12 20:51,"$2,000",2,19th AVE near Blenheim st,-100.445882,39.78373,False
R3- 3BDR Furnished unit- one bus to UBC- Sept- May 2023,https://vancouver.craigslist.org/van/apa/d/vancouver-r3-3bdr-furnished-unit-one/7501579132.html,2022-07-12 20:10,"$4,750",3,location not found,0.0,0.0,False
R2- 2Bdr two level unit- one bus to UBC-September- May2023,https://vancouver.craigslist.org/van/apa/d/vancouver-r2-2bdr-two-level-unit-one/7500260941.html,2022-07-12 20:10,"$3,400",2,location not found,0.0,0.0,False
UBC 5 mins. / Fully Furnished 2 bedroom suite & 1 bedroom suite / Sept,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7497522094.html,2022-07-12 18:56,$0,2,location not found,0.0,0.0,False
"Close to UBC, Lord Byng catchment, 3 beds, 2 baths basement for rent",https://vancouver.craigslist.org/van/apa/d/vancouver-close-to-ubc-lord-byng/7508102787.html,2022-07-12 18:49,"$3,600",3,20th Ave near Highbury,-100.445882,39.78373,False
UBC 5 mins. / Fully Furnished 2 bedroom & 1 bedroom  suite / Sept. 1st,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7505814850.html,2022-07-12 17:31,$0,2,location not found,0.0,0.0,False
IDEAL FOR UBC STUDENTS - FURNISHED 2 BEDROOM,https://vancouver.craigslist.org/van/apa/d/vancouver-ideal-for-ubc-students/7505683580.html,2022-07-12 16:45,"$3,400",2,Macdonald Street near 5th Avenue,-100.445882,39.78373,False
Near UBC 2 bedroom basement suite furnished,https://vancouver.craigslist.org/van/apa/d/vancouver-near-ubc-bedroom-basement/7508063469.html,2022-07-12 16:41,"$3,000",2,location not found,0.0,0.0,False
Chancellor Court - 2 Bedroom Suite on UBC Campus,https://vancouver.craigslist.org/van/apa/d/vancouver-chancellor-court-bedroom/7508020132.html,2022-07-12 15:02,"$3,300",2,Allison Rd,-123.242851,49.267405,True
UBC Area on 10th,https://vancouver.craigslist.org/van/apa/d/ubc-area-on-10th/7507066090.html,2022-07-12 13:13,"$1,850",1,4615-west 10,-100.445882,39.78373,False
1 Bedroom Suite on UBC Campus,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-suite-on-ubc-campus/7507950173.html,2022-07-12 12:12,"$2,575",1,Toronto Rd,-123.239713,49.265311,True
☆☆☆UBC Ocean View 1br+den Condo with A/C available Aug 1st,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-ocean-view-1brden-condo/7503579395.html,2022-07-12 09:36,"$3,000",1,5728 Berton Ave,-123.23704,49.254506,True
UBC 5 mins. / Fully Furnished 2 bedroom suite & 1 bedroom suite / Sept,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7497458496.html,2022-07-12 08:20,$0,2,location not found,0.0,0.0,False
Furnished 3bedrooms close to UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-3bedrooms-close-to/7507750073.html,2022-07-12 03:29,"$4,200",3,W15 near Wallace st,-100.445882,39.78373,False
UBC Ponderosa Studio Sublet September 2022 to December 2022,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-ponderosa-studio-sublet/7501144268.html,2022-07-12 02:58,"$2,500",1,location not found,0.0,0.0,False
CHARACTER-bright-DISHWASHER-LAUNDRY- WOOD FLOORS-UBC-Renovated,https://vancouver.craigslist.org/van/apa/d/vancouver-character-bright-dishwasher/7507725812.html,2022-07-11 21:45,"$2,800",1,west 20th avenue near cambie,-100.445882,39.78373,False
Brand New Main Floor of House/10 mins from UBC/Avail Aug 1,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-main-floor-of-house/7500706545.html,2022-07-11 21:43,"$5,195",3,location not found,0.0,0.0,False
Vancouver West Quilchena 1 & Den walk to stores easy commute to UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-west-quilchena-den/7507718869.html,2022-07-11 21:21,"$2,280",1,location not found,0.0,0.0,False
Kitsilano-Character-Private-BIG BALCONY-Wood floors-UBC-clean-BRIGHT,https://vancouver.craigslist.org/van/apa/d/vancouver-kitsilano-character-private/7507720560.html,2022-07-11 21:09,"$3,500",1,west 7th avenue near balsam,-100.445882,39.78373,False
Kitsilano-Character-Private-BIG BALCONY-Wood floors-UBC-clean-BRIGHT,https://vancouver.craigslist.org/van/apa/d/vancouver-kitsilano-character-private/7507720425.html,2022-07-11 21:08,"$3,500",1,west 7th avenue near balsam,-100.445882,39.78373,False
Vancouver West Quilchena 1 & Den walk to stores easy commute to UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-west-quilchena-den/7507718803.html,2022-07-11 21:09,"$2,280",1,location not found,0.0,0.0,False
UBC 5 mins. / Fully Furnished 2 bedroom suite & 1 bedroom suite / Sept,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7497341178.html,2022-07-11 17:17,$0,2,location not found,0.0,0.0,False
UBC 5 mins. / Fully Furnished 2 bedroom suite & 1 bedroom  / Sept. 1st,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7501413210.html,2022-07-11 15:21,$0,2,location not found,0.0,0.0,False
2 Bedroom Bright & Spacious Suite - UBC Campus,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-bright-spacious-suite/7507612887.html,2022-07-11 15:06,"$4,300",2,6005 Walter Gage Road,-123.250457,49.270258,True
UBC wesbrook mall 2 Bedrooms + den rental,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-wesbrook-mall-bedrooms/7507589465.html,2022-07-11 14:12,"$3,600",2,location not found,0.0,0.0,False
3 bdrm furnished garden level suite in Vancouver near UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-bdrm-furnished-garden-level/7507582718.html,2022-07-11 13:57,"$3,750",3,12th Avenue West near Balaclava,-100.445882,39.78373,False
New & Cozy 2 br -Furnished-Lower Floor Suite in Dunbar close to UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-new-cozy-br-furnished-lower/7507575191.html,2022-07-11 13:41,"$2,580",2,location not found,0.0,0.0,False
Beautiful 2BED+2BATH CONDO in UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-beautiful-2bed2bath-condo-in/7506586259.html,2022-07-11 11:13,"$3,800",2,5868 Agronomy Road,-123.255258,49.259707,True
UBC 5 mins. / Fully Furnished 2 bedroom suite & 1 bedroom suite / Sept,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7497264526.html,2022-07-11 11:04,$0,2,location not found,0.0,0.0,False
UBC area - Sea view house,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-area-sea-view-house/7499846961.html,2022-07-11 09:08,"$15,000",6,location not found,0.0,0.0,False
UBC 5 mins. / Fully Furnished 2 bedroom suite & 1 bedroom suite / Sept,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7498100157.html,2022-07-11 08:36,$9,2,location not found,0.0,0.0,False
UBC apartment suite for rent,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-apartment-suite-for-rent/7507390967.html,2022-07-11 07:51,"$4,600",2,location not found,0.0,0.0,False
Van W 2 and 3 (can be 4) BR Suites for Rent near UBC/Downtown/Langara,https://vancouver.craigslist.org/van/apa/d/vancouver-van-2-and-can-be-br-suites/7507310157.html,2022-07-11 00:37,"$2,150",5,Park Dr near Granville St,-100.445882,39.78373,False
UBC 2 bedroom 2 bath 1 den concrete apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-bedroom-bath-den-concrete/7507302211.html,2022-07-10 22:45,"$3,800",2,location not found,0.0,0.0,False
"UBC, Stunning Contemporary Condo 2 bed + office",https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-stunning-contemporary/7507301988.html,2022-07-10 22:42,"$3,800",2,location not found,0.0,0.0,False
